Date,Close,High,Low,Open,Volume,RSI,MA_20,MA_50,MA_100,MACD,MACD_hist,MACD_signal
2018-03-08,5555.31689453125,5688.037775970563,5536.356768611348,5536.356768611348,9359200,35.39766235633386,5804.64267578125,5889.773603515625,5899.4432763671875,-77.41648563739363,-29.26052237075691,-48.155963266636725
2018-03-09,5650.1171875,5688.037437080537,5593.236813129195,5650.1171875,3127000,41.882793142182955,5793.266577148437,5887.119169921875,5893.565629882813,-77.47850753146213,-23.458035411860315,-54.02047211960181
2018-03-12,5725.9580078125,5763.878259519867,5688.037756105132,5706.997881958816,6550500,46.509041180923816,5784.7344970703125,5885.981552734375,5887.498388671875,-70.59417426078653,-13.258961712947773,-57.33521254783876
2018-03-13,5688.0380859375,5744.918466796875,5669.077958984375,5725.95833984375,7593700,44.597499445699604,5775.254443359375,5885.223154296875,5880.672744140625,-67.42092487623086,-8.068569862713673,-59.35235501351718
2018-03-14,5555.31689453125,5763.878279650171,5555.31689453125,5763.878279650171,3518500,38.61527084794212,5756.2943115234375,5880.293515625,5871.9510888671875,-74.75387666858751,-12.321217324056256,-62.43265934453125
2018-03-15,5441.556640625,5631.157917301829,5422.596512957317,5631.157917301829,7585400,34.36075489090091,5732.594189453125,5871.95107421875,5862.091831054688,-88.72206283838477,-21.031522795082807,-67.69054004330197
2018-03-16,5422.595703125,5555.31657697771,5365.715328616696,5441.555827961101,14475200,33.69440429341544,5707.946020507812,5863.987802734375,5853.749365234375,-100.16727422112217,-25.981387342256156,-74.18588687886601
2018-03-19,5460.5166015625,5574.277364095052,5422.596347384982,5422.596347384982,3136100,36.35281918877933,5683.297875976563,5854.128544921875,5846.544526367187,-104.9677838425414,-24.625517570940303,-80.34226627160109
2018-03-20,5308.83447265625,5517.395826939174,5308.83447265625,5460.515457589286,5952200,30.99903106089962,5654.857641601562,5841.61484375,5837.443657226562,-119.6326517054913,-31.43230834711217,-88.20034335837913
2018-03-21,5517.39697265625,5574.277353817654,5308.835575064432,5308.835575064432,7725200,43.352532607088996,5641.585546875,5833.272392578125,5830.428413085938,-113.12142109434899,-19.936862188775876,-93.18455890557311
2018-03-22,5422.595703125,5612.196951486014,5422.595703125,5555.31657697771,5782000,39.859302519625565,5620.72939453125,5822.2755078125,5823.223564453125,-114.2933910215097,-16.887065692749275,-97.40632532876043
2018-03-23,5422.595703125,5593.2368266499125,5346.7552037805945,5422.595703125,8574000,39.859302519625565,5602.717236328125,5811.65783203125,5815.070703125,-113.90911229183257,-13.202229570457703,-100.70688272137487
2018-03-26,5460.5166015625,5479.476728651259,5403.636220296224,5422.596347384982,3789000,42.02639217317575,5589.445166015625,5802.556982421875,5807.4866552734375,-109.2849007360528,-6.862414411742336,-102.42248632431047
2018-03-27,5422.595703125,5574.276701813811,5346.7552037805945,5498.4362024694055,8866500,40.456459685038155,5573.329028320312,5791.180908203125,5800.0922021484375,-107.44155992541619,-4.015258880884559,-103.42630104453163
2018-03-28,5403.6357421875,5422.595867598685,5289.874989720395,5403.6357421875,7495400,39.65875625151148,5556.264892578125,5778.667216796875,5792.887353515625,-106.2854173146552,-2.2872930160988574,-103.99812429855635
2018-03-29,5460.5166015625,5460.5166015625,5327.795711941189,5403.636220296224,8823500,43.27252559205691,5534.4607421875,5768.049560546875,5787.19931640625,-99.63087329836526,3.493800800152883,-103.12467409851814
2018-03-30,5460.5166015625,5460.5166015625,5460.5166015625,5460.5166015625,0,43.272525592056915,5515.500634765625,5757.0526953125,5780.942470703125,-93.28180464402612,7.87429556359362,-101.15610020761974
2018-04-02,5574.2763671875,5574.2763671875,5422.595377604167,5498.435872395833,2889600,50.19149743063484,5506.020532226563,5746.055810546875,5776.39203125,-78.16956949867199,18.38922456715821,-96.5587940658302
2018-04-03,5422.595703125,5574.276701813811,5403.635578288899,5574.276701813811,6528100,42.71124049259561,5494.644458007812,5731.266904296875,5770.32478515625,-77.53855995674348,15.216187287269378,-92.75474724401286
2018-04-04,5460.5166015625,5536.357109917534,5365.715966118706,5479.476728651259,5165100,44.921295874874446,5491.800439453125,5717.99482421875,5765.205551757813,-73.13552001341759,15.695381784476226,-88.83090179789382
2018-04-05,5403.6357421875,5479.476243832237,5403.6357421875,5460.516118421053,2348600,42.28615321458181,5484.216381835938,5704.722724609375,5760.465517578125,-73.38989607618532,12.352804577366811,-85.74270065355213
2018-04-06,5384.67529296875,5460.5157900528175,5384.67529296875,5422.595541510784,3894200,41.41405230372532,5470.944287109375,5689.933818359375,5755.1566796875,-74.26535593681638,9.181875773388612,-83.44723171020499
2018-04-09,5441.556640625,5479.476895960366,5365.716129954269,5365.716129954269,6902600,45.07382296680802,5456.72421875,5676.2825390625,5750.416655273438,-69.5673852916625,11.103877134833994,-80.6712624264965
2018-04-10,5498.4365234375,5517.396649380388,5403.635893723061,5403.635893723061,11617900,48.535911699023075,5447.244140625,5667.940087890625,5746.814233398438,-60.556421794985,16.091872505209196,-76.6482943001942
2018-04-11,5479.47705078125,5536.357435391436,5422.5966661710645,5536.357435391436,9453000,47.462027740574555,5443.4521484375,5659.976845703125,5743.022216796875,-54.318885001846866,17.863527438677863,-72.18241244052473
2018-04-12,5403.6357421875,5479.476243832237,5346.755365953948,5479.476243832237,10132200,43.331876914321555,5441.556103515625,5651.255185546875,5737.902983398438,-54.86292626254453,13.85558894238416,-68.71851520492869
2018-04-13,5365.71630859375,5441.5568217894215,5346.756180294832,5422.596693490504,7042900,41.392415682966295,5438.712133789062,5640.63751953125,5733.162958984375,-57.68886296415894,8.8237217926158,-66.51258475677474
2018-04-16,5346.755859375,5384.676113696809,5327.795732214096,5346.755859375,5150100,40.4182724602487,5433.024096679687,5629.261455078125,5727.285322265625,-60.75800746333971,4.6036618347480385,-65.36166929808775
2018-04-17,5384.67529296875,5403.635417239767,5346.755044426717,5365.715168697733,12172100,43.29262155936317,5436.816137695312,5620.918984375,5722.734887695313,-59.445296827430866,4.733097976525514,-64.17839480395638
2018-04-18,5346.755859375,5422.596368018617,5327.795732214096,5403.636240857712,8005200,41.15451852050065,5428.28408203125,5607.646904296875,5718.563662109375,-60.76429263495356,2.731281735202259,-63.49557437015582
2018-04-19,5422.595703125,5422.595703125,5346.7552037805945,5346.7552037805945,3752100,46.81230068118227,5428.28408203125,5597.029228515625,5717.2364501953125,-55.05532127178867,6.752202478693725,-61.807523750482396
2018-04-20,5384.67529296875,5422.595541510784,5346.755044426717,5422.595541510784,6606500,44.50803878098476,5426.3880615234375,5587.169951171875,5715.530034179687,-52.980059375541714,7.0619714999525485,-60.04203087549426
2018-04-23,5308.83447265625,5384.674965122768,5289.874349539621,5346.75471888951,8442300,40.24163327478851,5418.803955078125,5575.4146484375,5713.2548046875,-56.80036054300672,2.5933362659900396,-59.39369680899676
2018-04-24,5232.99462890625,5346.75538170856,5232.99462890625,5346.75538170856,4391400,36.476220458988614,5409.323901367187,5562.5217578125,5710.221176757813,-65.19607850278044,-4.641905355026935,-60.5541731477535
2018-04-25,5214.03466796875,5270.915046164773,5157.154289772728,5232.994794034091,4629800,35.579893753056126,5399.84384765625,5548.112060546875,5706.808354492187,-72.54342047194496,-9.591397859353158,-62.9520226125918
